Question,Answer
They set out ______ a journey.,on
He was shocked ______ the news of his son's death.,by
A new ass is short ______ money towards the end of the month.,of
She is sick ______ her poverty.,due
The knife he has shown me was similar ______ this one.,to
The younger boy is slow ______ speech.,in
His brother is slow ______ anthmenc.,in
We shall stand ______ our leaders.,with
She stared ______ him.,at
We shall stick ______ our post at all cost.,to
They were shocked ______ the news.,by
I have to submit ______ the orders to my colleague.,to
He succeeded ______ of my senior.,over
The old man succumbed ______ his injuries.,to
This amount is not sufficient ______ the project.,for
He felt Sure ______ success.,of
Food was supplied ______ the hungry.,to
The hungry were supplied ______ food.,with
The soldiers would not surrender ______ the enemy.,to
He was suspicious ______ all his employees.,of
We sympathize ______ her in her troubles.,with
We should have no sympathy ______ people.,for
We listened to his discourse ______ moral values.,on
Poor students are engaged ______ Scholarship.,in
There is no reason ______ eaving him behind.,for
I am fascinated ______ the number of books in the library.,by
All my books fit ______ my bag.,in
There is a curfew; we may have to go ______ classes for a week.,away
He was ignorant ______ her plans.,of
The area was infected ______ mosquitoes.,with
Do not interfere ______ the security procedures.,in
A good citizen always acts ______ the law.,under
They called me ______ name.,by
He is very partial ______ his friends ______ request.,to,towards
Admission forms are issued ______.,-
He was suspected ______ irregular practice.,for
I shall attend ______ you now.,to
He begged ______ mercy.,for
It boils down ______ the company making high profits.,to
The classroom buzzed ______ queston.,with
My cousins have a claim ______ our property.,to
You need to be conversant ______ our customs.,with
She has no taste ______ music.,for
He took drinking ______ after his wife's death.,up
Let the talk ______ the matter.,be
They talked ______ the matter.,about
We are very thankful ______ you for your help.,to
He is tired ______ the game.,of
We are tired ______ our excretions.,with
You must be true ______ your word.,to
Trust ______ God.,in
She trembled ______ ear.,with
We have used ______ all the milk for tea.,up
Recycled waste is useful ______ many purposes.,for
This book is not useful ______ me.,to
The actress was vain ______ her pretty face.,of
Do not be vexed ______ me, for coming late.,at
I am vexed ______ his silence.,by
He was a victim ______ his circumstances.,of
Peter and Tom vie ______ each other for the elocution prize.,with
All the servants waited ______ her.,for
A deputation waited ______ the Minister.,on
We warned her ______ the danger.,of
I like to dance ______ western music.,to
We are dependent ______ our parents.,on
We are disgusted ______ the situation.,with
She emigrated ______ Australia.,to
He was exempt ______ manual work.,from
Short skirts are Out ______ fashion.,of
He became fluent ______ English.,in
I graduated ______ Delhi University.,from
He was very impatient ______ slow learners.,with
He has some influence ______ the police.,over
The police made an investigation ______ his death.,into
He is leaving ______ Liverpool today.,from
I got nervous ______ crossing roads at night.,about
She has a passion ______ Indian music.,for
He will resign ______ the association.,from
He seems to thrive ______ controversy.,on
He should avail himself ______ the opportunity.,of
Do you believe ______ God?,in
She played piano ______ her childhood.,in
I shall call ______ the President tomorrow.,to
The actor's good performance won ______ his critics.,over
The king grew weary ______ his courtiers.,of
She is well-versed ______ household chores.,in
He withdrew Tom ______ the contest.,from
I was a witness ______ the bomb blast.,to
We wonder ______ their skill.,at
She is worthy ______ praise.,of
The soldiers did not yield ______ the enemy.,to
He yeamed ______ Success all his life.,for
The reformer is full of zeal ______ his mission.,for
The young minister was zealous ______ improvement.,for
Be zealous ______ a good cause.,for
The drain is clogged ______ plastic bags.,with
Your views do not correspond ______ reality.,to
Last night I was ______ danger of being robbed.,in
He was desperate ______ the prize.,for
Our cat has a dislike ______ our neighbours dog.,for
The invitation was enclosed ______ my letter.,with
The teacher is experimenting ______ lots.,with
He was in favour ______ introducing astrology in the school.,of
I am fond ______ listening to music.,of
He grieved ______ a terrible tragedy.,over
There is a ban ______ Smoking in public places.,on
Onions are used as an ingredient ______ salads.,in
Your opinion is relevant ______ the present situation.,to
She did not listen ______ her father's advice.,to
The birds were nibbling ______ the blue berries.,on
He did not pay ______ his stay in the hotel.,for
They have claimed responsibility ______ the explosions.,for
Now America is less tolerant ______ violence.,of
The doctor asked me ______ my health.,about
I belong ______ a organisation called ASHA'.',to
He borrowed some money ______ a friend.,from
He is capable ______ doing better.,of
The farmer came out ______ the forest.,from
She counselled us ______ our future goals.,about
It never dawned ______ me that someone was following me.,on
Your argument is devoid ______ merit.,of
He distanced himself ______ the Association.,from
Do not indulge ______ gossip.,in
He is an expert ______ dealing with school problems.,in
We fear ______ the safety of our soldiers.,for
Her way of life is fraught ______ danger.,with
The small number grew ______ a formidable group.,into
They were impressed ______ the performance.,by
The merchant inquired ______ my daughter's health.,about
She was irritated ______ his questions.,by
You must not look down ______ the poor.,on
I have an objection ______ your going out at night.,to
He persisted ______ his inquiries.,in
Let us revert now ______ the first point.,to
The District Magistrate was unavailable ______ the comment.,for
